Date, SleepTime, WakeTime, Hours,decST,decWT
11/23/2019,2:48,8:59,6.18,2.80,8.98
11/22/2019,0:44,6:45,6.01,0.73,6.75
11/21/2019,0:22,8:33,8.16,0.37,8.55
11/20/2019,23:49,6:45,6.93,23.82,6.75
11/19/2019,0:52,7:34,6.7,0.87,7.57
11/18/2019,0:11,8:17,8.09,0.18,8.28
11/17/2019,4:06,10:49,6.7,4.10,10.82
11/16/2019,2:26,10:08,7.71,2.43,10.13
11/15/2019,1:01,6:45,5.72,1.02,6.75
11/14/2019,0:45,7:42,6.93,0.75,7.70
11/13/2019,23:34,6:45,7.17,23.57,6.75
11/12/2019,0:23,7:38,7.24,0.38,7.63
11/11/2019,0:42,7:35,6.89,0.70,7.58
11/10/2019,1:50,7:57,6.11,1.83,7.95
11/9/2019,1:39,8:37,6.97,1.65,8.62
11/8/2019,23:22,6:45,7.38,23.37,6.75
11/7/2019,23:35,7:49,8.23,23.58,7.82
11/6/2019,22:55,6:45,7.81,22.92,6.75
11/5/2019,23:02,7:45,8.72,23.03,7.75
11/4/2019,23:47,7:18,7.52,23.78,7.30
11/3/2019,1:56,8:20,7.39,1.93,8.33
11/2/2019,1:45,8:04,6.31,1.75,8.07
11/1/2019,23:30,6:54,7.39,23.50,6.90
10/31/2019,23:35,7:54,8.31,23.58,7.90
10/30/2019,23:18,6:55,7.61,23.30,6.92
10/29/2019,0:31,8:45,8.23,0.52,8.75
10/28/2019,0:49,8:20,7.51,0.82,8.33
10/27/2019,2:56,9:10,6.24,2.93,9.17
10/26/2019,2:34,8:58,6.39,2.57,8.97
10/25/2019,23:25,6:45,7.32,23.42,6.75
10/24/2019,23:53,7:56,8.05,23.88,7.93
10/23/2019,23:20,6:14,6.88,23.33,6.23
10/22/2019,23:18,6:45,7.44,23.30,6.75
10/21/2019,23:54,8:45,8.84,23.90,8.75
10/20/2019,3:56,9:57,6.02,3.93,9.95
10/19/2019,2:16,9:16,6.99,2.27,9.27
10/18/2019,23:19,6:45,7.42,23.32,6.75
10/17/2019,23:20,8:28,9.12,23.33,8.47
10/16/2019,23:08,6:45,7.61,23.13,6.75
10/15/2019,23:42,7:41,7.98,23.70,7.68
10/14/2019,23:47,8:29,8.69,23.78,8.48
10/13/2019,2:59,8:05,5.1,2.98,8.08
10/12/2019,2:09,8:28,6.31,2.15,8.47
10/11/2019,23:15,6:45,7.49,23.25,6.75
10/10/2019,0:16,7:30,7.22,0.27,7.50
10/9/2019,23:18,6:45,7.45,23.30,6.75
10/8/2019,0:25,8:17,7.86,0.42,8.28
10/7/2019,0:09,8:25,8.25,0.15,8.42
10/6/2019,0:39,9:40,9.02,0.65,9.67
10/5/2019,1:33,9:24,7.84,1.55,9.40
10/4/2019,1:14,8:47,7.54,1.23,8.78
10/3/2019,1:25,9:27,8.03,1.42,9.45
10/2/2019,22:59,6:45,7.76,22.98,6.75
10/1/2019,23:31,7:23,7.86,23.52,7.38
9/30/2019,0:40,8:00,7.32,0.67,8.00
9/29/2019,2:08,8:54,6.76,2.13,8.90
9/28/2019,1:47,9:29,7.69,1.78,9.48
9/27/2019,23:34,6:45,7.17,23.57,6.75
9/26/2019,23:36,8:19,8.71,23.60,8.32
9/25/2019,23:16,6:45,7.47,23.27,6.75
9/24/2019,23:42,7:45,8.04,23.70,7.75
9/23/2019,23:51,8:03,8.19,23.85,8.05
9/22/2019,1:02,7:52,6.83,1.03,7.87
9/21/2019,1:34,8:00,6.42,1.57,8.00
9/20/2019,23:20,6:45,7.41,23.33,6.75
9/19/2019,23:34,8:33,8.99,23.57,8.55
9/18/2019,23:28,6:44,7.27,23.47,6.73
9/17/2019,23:43,7:54,8.18,23.72,7.90
9/16/2019,5:59,8:29,2.49,5.98,8.48
9/16/2019,23:23,4:45,5.36,23.38,4.75
9/15/2019,4:27,10:10,5.71,4.45,10.17
9/14/2019,2:15,9:57,7.69,2.25,9.95
9/13/2019,23:24,6:45,7.35,23.40,6.75
9/12/2019,23:49,8:32,8.71,23.82,8.53
9/11/2019,23:24,6:55,7.5,23.40,6.92
9/10/2019,0:01,8:45,8.72,0.02,8.75
9/9/2019,23:43,7:58,8.24,23.72,7.97
9/8/2019,2:58,9:45,6.78,2.97,9.75
9/7/2019,2:15,8:10,5.91,2.25,8.17
9/6/2019,23:14,6:45,7.51,23.23,6.75
9/5/2019,23:38,8:45,9.1,23.63,8.75
9/4/2019,23:16,7:05,7.81,23.27,7.08
9/3/2019,1:28,7:52,6.39,1.47,7.87
9/2/2019,0:44,8:33,7.81,0.73,8.55
9/1/2019,23:56,8:19,8.38,23.93,8.32
8/31/2019,1:19,8:09,6.84,1.32,8.15
8/30/2019,23:25,6:45,7.32,23.42,6.75
8/29/2019,23:39,7:57,8.3,23.65,7.95
8/28/2019,23:21,6:55,7.55,23.35,6.92
8/27/2019,23:43,7:59,8.25,23.72,7.98
8/26/2019,0:37,8:36,7.99,0.62,8.60
8/25/2019,1:40,10:04,8.4,1.67,10.07
8/24/2019,3:34,9:32,5.96,3.57,9.53
8/23/2019,23:18,6:55,7.61,23.30,6.92
8/22/2019,23:33,6:55,7.35,23.55,6.92
8/21/2019,23:18,6:45,7.45,23.30,6.75
8/20/2019,23:28,7:10,7.69,23.47,7.17
8/19/2019,23:12,6:54,7.69,23.20,6.90
8/18/2019,2:16,9:42,7.42,2.27,9.70
8/17/2019,1:29,9:35,8.1,1.48,9.58
8/16/2019,22:50,6:48,7.97,22.83,6.80
8/15/2019,0:22,7:17,6.91,0.37,7.28
8/14/2019,23:16,6:55,7.64,23.27,6.92
8/13/2019,0:55,8:23,7.46,0.92,8.38
8/12/2019,23:28,6:45,7.28,23.47,6.75
8/11/2019,22:59,8:42,9.7,22.98,8.70
8/10/2019,22:42,7:53,9.18,22.70,7.88
8/9/2019,0:47,6:55,6.12,0.78,6.92
8/8/2019,0:18,8:22,8.06,0.30,8.37
8/7/2019,23:13,6:55,7.69,23.22,6.92
8/6/2019,23:51,6:47,6.93,23.85,6.78
8/5/2019,22:30,6:45,8.24,22.50,6.75
8/4/2019,3:42,10:13,6.51,3.70,10.22
8/3/2019,1:53,8:50,6.94,1.88,8.83
8/2/2019,22:52,6:55,8.04,22.87,6.92
8/1/2019,23:31,7:43,8.2,23.52,7.72
7/31/2019,23:04,5:28,6.4,23.07,5.47
7/30/2019,23:18,7:19,8.02,23.30,7.32
7/29/2019,23:21,6:55,7.55,23.35,6.92
7/28/2019,2:33,9:42,7.15,2.55,9.70
7/27/2019,2:55,10:36,7.69,2.92,10.60
7/26/2019,22:57,6:45,7.79,22.95,6.75
7/25/2019,0:28,7:23,6.9,0.47,7.38
7/24/2019,23:17,6:45,7.46,23.28,6.75
